City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Cidreira,BR,88.3,clear sky,-30.1811,-50.2056,Hotel Castelo
13,Atuona,PF,80.49,scattered clouds,-9.8,-139.0333,Villa Enata
15,Rikitea,PF,78.24,light rain,-23.1203,-134.9692,Pension Maro'i
17,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
22,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
27,Lorengau,PG,80.87,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
32,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
33,Namibe,AO,81.05,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
34,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
36,Maunabo,PR,84.0,broken clouds,18.0072,-65.8993,Maunacaribe
39,Arauca,CO,84.2,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
42,Buala,SB,78.3,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
46,Nouadhibou,MR,78.8,clear sky,20.930999999999997,-17.0347,El Medina
47,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
49,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
53,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
57,Hithadhoo,MV,83.68,broken clouds,-0.6,73.0833,Scoop Guest House
59,Kavieng,PG,78.28,moderate rain,-2.5744,150.7967,Nusa Island Retreat
60,Dawei,MM,76.57,overcast clouds,14.0833,98.2,Hotel Dawei
67,Madimba,TZ,77.0,light rain,-10.4,40.3333,
69,Vila Velha,BR,84.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
