City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Taunggyi,MM,2021-04-10 15:42:51,20.7833,97.0333,70.34,43,27,3.91
1,Cayenne,GF,2021-04-10 15:42:51,4.9333,-52.3333,82.4,89,75,3.44
2,Hilo,US,2021-04-10 15:38:56,19.7297,-155.09,66.2,82,90,4.79
3,Port Alfred,ZA,2021-04-10 15:42:52,-33.5906,26.891,69.78,89,94,7.81
4,Leningradskiy,RU,2021-04-10 15:42:52,69.3833,178.4167,-16.8,99,100,2.35
5,Mataura,NZ,2021-04-10 15:42:53,-46.1927,168.8643,57.0,92,96,1.99
6,Busselton,AU,2021-04-10 15:38:43,-33.65,115.3333,68.0,54,100,5.01
7,East London,ZA,2021-04-10 15:42:53,-33.0153,27.9116,75.2,78,0,8.05
8,Kapaa,US,2021-04-10 15:38:45,22.0752,-159.319,66.2,88,75,10.11
9,Aklavik,CA,2021-04-10 15:42:53,68.2191,-135.0107,-18.4,76,75,6.91
10,Albany,US,2021-04-10 15:38:24,42.6001,-73.9662,69.01,48,0,4.74
11,Roebourne,AU,2021-04-10 15:42:54,-20.7833,117.1333,83.61,75,100,13.89
12,Grand Gaube,MU,2021-04-10 15:42:54,-20.0064,57.6608,80.01,76,99,7.0
13,Lagoa,PT,2021-04-10 15:40:01,39.05,-27.9833,59.79,93,100,24.09
14,Airai,TL,2021-04-10 15:42:54,-8.9266,125.4092,57.34,82,32,1.48
15,Ribeira Grande,PT,2021-04-10 15:42:55,38.5167,-28.7,66.2,77,20,9.22
16,Norman Wells,CA,2021-04-10 15:42:55,65.282,-126.8329,-11.2,70,75,11.5
17,Taoudenni,ML,2021-04-10 15:41:31,22.6783,-3.9836,99.7,8,3,11.77
18,Fortuna,US,2021-04-10 15:42:55,40.5982,-124.1573,48.99,76,90,6.91
19,Coquimbo,CL,2021-04-10 15:42:56,-29.9533,-71.3436,62.6,72,0,9.22
20,Waipawa,NZ,2021-04-10 15:42:56,-41.4122,175.5153,64.99,88,75,20.71
21,Bluff,NZ,2021-04-10 15:42:56,-46.6,168.3333,57.0,92,97,1.99
22,Hermanus,ZA,2021-04-10 15:42:57,-34.4187,19.2345,70.0,77,100,1.01
23,Acapulco,MX,2021-04-10 15:42:57,16.8634,-99.8901,82.4,65,1,4.03
24,Tuktoyaktuk,CA,2021-04-10 15:42:57,69.4541,-133.0374,-25.6,75,75,4.61
25,Muli,MV,2021-04-10 15:42:58,2.9167,73.5667,83.28,74,53,9.22
26,Chuy,UY,2021-04-10 15:42:58,-33.6971,-53.4616,67.37,98,100,6.87
27,Tabory,RU,2021-04-10 15:42:58,58.5198,64.5495,39.7,96,100,4.9
28,Rikitea,PF,2021-04-10 15:42:58,-23.1203,-134.9692,77.81,74,2,9.66
29,Chokurdakh,RU,2021-04-10 15:42:59,70.6333,147.9167,-30.95,100,81,4.09
30,Port Elizabeth,ZA,2021-04-10 15:42:59,-33.918,25.5701,68.0,83,0,5.75
31,Nakodar,IN,2021-04-10 15:42:59,31.1258,75.4733,80.4,14,0,6.35
32,Barrow,US,2021-04-10 15:42:59,71.2906,-156.7887,-16.6,76,1,8.05
33,Kavieng,PG,2021-04-10 15:43:00,-2.5744,150.7967,78.04,87,100,11.56
34,Dikson,RU,2021-04-10 15:43:00,73.5069,80.5464,24.6,92,80,15.3
35,Moose Factory,CA,2021-04-10 15:43:00,51.2585,-80.6094,50.0,100,90,4.61
36,Georgetown,MY,2021-04-10 15:41:31,5.4112,100.3354,84.2,89,40,9.22
37,Kampot,KH,2021-04-10 15:43:01,10.6167,104.1833,80.6,88,40,13.8
38,Bambous Virieux,MU,2021-04-10 15:42:51,-20.3428,57.7575,80.01,83,40,9.22
39,Hamilton,US,2021-04-10 15:43:01,39.1834,-84.5333,72.0,60,40,10.36
40,Hithadhoo,MV,2021-04-10 15:42:20,-0.6,73.0833,83.66,69,100,10.96
41,Havelock,US,2021-04-10 15:43:02,34.8791,-76.9013,75.0,78,75,8.05
42,Pevek,RU,2021-04-10 15:39:24,69.7008,170.3133,-25.29,98,82,2.84
43,Campoverde,PE,2021-04-10 15:43:02,-8.4753,-74.8058,73.4,100,90,3.44
44,Nanortalik,GL,2021-04-10 15:43:02,60.1432,-45.2371,37.45,91,100,6.02
45,Arraial Do Cabo,BR,2021-04-10 15:43:03,-22.9661,-42.0278,84.2,42,0,9.22
46,Pascagoula,US,2021-04-10 15:38:41,30.3658,-88.5561,64.4,94,90,4.61
47,Ushuaia,AR,2021-04-10 15:40:54,-54.8,-68.3,53.6,50,75,5.75
